"file_name","n_layers","original_size_mb","cropped_size_mb","processing_time_sec","status"
"elevation.nc",4,325.38,27.3,20.79,"Success"
"flow_acc.nc",2,164.97,11.43,12.83,"Success"
"geology_weighted_sum.nc",92,5404.48,81.74,502.67,"Success"
"hydroclim_average+sum.nc",19,1633.81,112.19,87.52,"Success"
"hydroclim_weighted_average+sum.nc",19,1381.76,90.02,87.04,"Success"
"landcover_average.nc",12,239.55,32.69,45.4,"Success"
"landcover_maximum.nc",12,245.54,36.14,44.94,"Success"
"landcover_minimum.nc",12,197.73,22.29,44.54,"Success"
"landcover_range.nc",12,252.33,36.59,45.19,"Success"
"landcover_weighted_average.nc",12,243.9,32.71,45.33,"Success"
"monthly_prec_sum.nc",12,1270.85,86.83,56.53,"Success"
"monthly_prec_weighted_sum.nc",12,848.83,46.6,54.34,"Success"
"monthly_tmax_average.nc",12,817.92,40.89,48.07,"Success"
"monthly_tmax_weighted_average.nc",12,848.15,46.71,48.47,"Success"
"monthly_tmin_average.nc",12,780.95,60.47,48.6,"Success"
"monthly_tmin_weighted_average.nc",12,845.52,56.38,47.82,"Success"
"quality_control.nc",2,1.55,2.33,11.04,"Success"
"slope.nc",4,304.82,25.36,19.51,"Success"
"soil_average.nc",10,673.67,41.29,40.28,"Success"
"soil_maximum.nc",10,669.87,41.77,40.91,"Success"
"soil_minimum.nc",10,661.29,39.23,40.45,"Success"
"soil_range.nc",10,683.53,40.91,40.18,"Success"
"soil_weighted_average.nc",10,679.07,41.32,40.41,"Success"
